time	V(n002)	I(R2)
9.663089360768633e-002	-1.028353e+000	1.104607e-004
9.696878931727368e-002	-9.403583e-001	3.067241e-005
9.710328336881899e-002	-9.018201e-001	1.586841e-005
9.727581304907181e-002	-8.500204e-001	8.037689e-006
9.746770910473764e-002	-7.914414e-001	3.601205e-006
9.765866858766144e-002	-7.325659e-001	1.550315e-006
9.783821726265014e-002	-6.768940e-001	6.964709e-007
9.804214739221896e-002	-6.134452e-001	2.792295e-007
9.825575665790913e-002	-5.468153e-001	1.023263e-007
9.859525649160129e-002	-4.406686e-001	1.135174e-008
9.908353774160129e-002	-2.876930e-001	-2.350330e-008
9.957181899160129e-002	-1.344754e-001	-3.124421e-008
1.000601002416013e-001	1.886974e-002	-3.412875e-008
1.005483814916013e-001	1.721971e-001	-3.678235e-008
1.010366627416013e-001	3.253617e-001	-4.337637e-008
1.015249439916013e-001	4.782689e-001	-7.845591e-008
1.017895723416085e-001	5.609488e-001	-1.839280e-007
1.020695179445101e-001	6.481187e-001	-7.028642e-007
1.024453393843214e-001	7.643344e-001	-3.826684e-006
1.028230884828235e-001	8.792016e-001	-1.485776e-005
1.030783020371777e-001	9.536484e-001	-3.678152e-005
1.033022692849258e-001	1.013512e+000	-8.220891e-005
1.035523122062071e-001	1.071246e+000	-1.771757e-004
1.038017604774952e-001	1.116333e+000	-3.328669e-004
1.042292861936935e-001	1.171395e+000	-7.071049e-004
1.047175674436935e-001	1.214800e+000	-1.226581e-003
1.052058486936935e-001	1.244742e+000	-1.806691e-003
1.056941299436935e-001	1.266798e+000	-2.418673e-003
1.071589736936935e-001	1.310195e+000	-4.316364e-003
1.079262728008364e-001	1.324685e+000	-5.321774e-003
1.086935719079792e-001	1.337690e+000	-6.301012e-003
1.094608710151221e-001	1.349211e+000	-7.254077e-003
1.102281701222649e-001	1.359247e+000	-8.180971e-003
1.109954692294078e-001	1.367799e+000	-9.081692e-003
1.117627683365507e-001	1.374867e+000	-9.956241e-003
1.125300674436935e-001	1.380450e+000	-1.080462e-002
1.139949111936935e-001	1.390747e+000	-1.229947e-002
1.154597549436935e-001	1.399076e+000	-1.364118e-002
1.169245986936935e-001	1.405796e+000	-1.481624e-002
1.183894424436935e-001	1.411142e+000	-1.581325e-002
1.198542861936935e-001	1.415272e+000	-1.662275e-002
1.213191299436935e-001	1.418292e+000	-1.723718e-002
1.227839736936935e-001	1.420274e+000	-1.765086e-002
1.242488174436935e-001	1.421261e+000	-1.785998e-002
1.257136611936935e-001	1.421273e+000	-1.786263e-002
1.271785049436935e-001	1.420312e+000	-1.765878e-002
1.286433486936935e-001	1.418355e+000	-1.725030e-002
1.301081924436935e-001	1.415362e+000	-1.664095e-002
1.315730361936935e-001	1.411262e+000	-1.583636e-002
1.330378799436935e-001	1.405950e+000	-1.484404e-002
1.345027236936935e-001	1.399267e+000	-1.367341e-002
1.359675674436935e-001	1.390983e+000	-1.233581e-002
1.374324111936935e-001	1.380742e+000	-1.084469e-002
1.388972549436935e-001	1.367980e+000	-9.215944e-003
1.403620986936935e-001	1.351731e+000	-7.468709e-003
1.418269424436935e-001	1.330174e+000	-5.627579e-003
1.432917861936935e-001	1.299240e+000	-3.729393e-003
1.437800674436935e-001	1.285280e+000	-3.094794e-003
1.442683486936935e-001	1.268270e+000	-2.466483e-003
1.447566299436935e-001	1.246664e+000	-1.852860e-003
1.452449111936935e-001	1.217500e+000	-1.269418e-003
1.457331924436935e-001	1.174613e+000	-7.476665e-004
1.462214736936935e-001	1.110929e+000	-3.242038e-004
1.465153215449246e-001	1.054692e+000	-1.560574e-004
1.468814561933658e-001	9.647219e-001	-4.345228e-005
1.470199646195783e-001	9.262776e-001	-2.223613e-005
1.471782704760985e-001	8.794408e-001	-1.185451e-005
1.473526704113617e-001	8.266764e-001	-5.758045e-006
1.475297371936513e-001	7.723653e-001	-2.747188e-006
1.477459763640679e-001	7.055147e-001	-1.079721e-006
